,e.Usuario,e.timestamp,e.Activity,e.KitID,e.NS,e.Código,r.CaseID
131,ER,2022-03-27 09:35:00+00:00,Montaje,HNB-URO.010-2,2,HNB-URO.010,HNB-URO.010-2-CN33853
132,ER,2022-03-27 09:37:00+00:00,Producción montada,HNB-URO.010-2,2,HNB-URO.010,HNB-URO.010-2-CN33853
133,ER,2022-03-27 09:01:00+00:00,Composición de cargas,HNB-OFT.002-7,7,HNB-OFT.002,HNB-OFT.002-7-CN33844
134,ER,2022-03-27 10:32:00+00:00,Carga de esterilizador liberada,HNB-OFT.002-7,7,HNB-OFT.002,HNB-OFT.002-7-CN33844
135,LI,2022-03-27 18:29:00+00:00,Carga L+D liberada,CONT-HOS.ORL-2,2,CONT-HOS.ORL,HUBU-HOS.ORL.BD049R-0-CN33898
136,LI,2022-03-27 17:03:00+00:00,Entrada Material Sucio,CONT-HOS.ORL-2,2,CONT-HOS.ORL,HUBU-HOS.ORL.BD049R-0-CN33898
137,LI,2022-03-27 17:15:00+00:00,Carga L+D iniciada,CONT-HOS.ORL-2,2,CONT-HOS.ORL,HUBU-HOS.ORL.BD049R-0-CN33898
138,LI,2022-03-27 17:15:00+00:00,Cargado en carro L+D,CONT-HOS.ORL-2,2,CONT-HOS.ORL,HUBU-HOS.ORL.BD049R-0-CN33898
139,LI,2022-03-27 18:34:00+00:00,Montaje,HUBU-HOS.ORL.BD049R-0,0,HUBU-HOS.ORL.BD049R,HUBU-HOS.ORL.BD049R-0-CN33898
140,LI,2022-03-27 18:34:00+00:00,Producción montada,HUBU-HOS.ORL.BD049R-0,0,HUBU-HOS.ORL.BD049R,HUBU-HOS.ORL.BD049R-0-CN33898
141,LI,2022-03-27 18:39:00+00:00,Composición de cargas,HUBU-HOS.ORL.BD049R-0,0,HUBU-HOS.ORL.BD049R,HUBU-HOS.ORL.BD049R-0-CN33898
142,LI,2022-03-27 19:55:00+00:00,Carga de esterilizador liberada,HUBU-HOS.ORL.BD049R-0,0,HUBU-HOS.ORL.BD049R,HUBU-HOS.ORL.BD049R-0-CN33898
143,LI,2022-03-27 17:15:00+00:00,Carga L+D iniciada,CONT-HOS.ORL-2,2,CONT-HOS.ORL,HUBU-HOS.ORL.BD511R-0-CN33899
