r.KitID,r.DurationBetweenSterilizations,r.CycleNumber,DurationDifference
EXT-QUI.CPL.004-1,88,1,
CONT-QUI.NEUR-2,94,1,-31.0
CONT-QUI.CPL-1,180,1,-655.0
CONT-QUI.GINE-1,1,1,-1429.0
HUBU-TR.002-2,1,1,
CONT-HOS.ORL-2,25,1,-1405.0
CONT-CCEE.ORL-1,193,1,
CONT-QUI.TRA-1,50,1,-1341.0
EQP-DAVINCI.006-1,1,1,
HGY-QUI.TRA.CAJA-0,0,1,-1.0
CONT-QUI.TRA-1,140,1,90.0
CONT-URGENCIAS-2,1436,1,1434.0
HGY-QUI.CP.CAJA-0,0,1,-1016.0
HGY-QUI.CP.CAJA-0,0,1,0.0
HGY-QUI.CP.CAJA-0,262,1,262.0
CONT-QUI.ORL-4,1318,1,1160.0
CONT-QUI.CPL-4,161,1,-1034.0
CONT-CIST-1,1435,1,1425.0
CONT-QUI.OFT-2,37,1,-1343.0
CONT-QUI.TRA-1,1288,1,1148.0
CONT-CCEE.GINE-4,11,1,-1422.0
CONT-CCEE.ORL-3,0,1,-231.0
CONT-HOS.UCIP-1,2,1,-1429.0
CONT-QUI.CG-2,153,1,71.0
CONT-QUI.TRA-1,57,1,-1231.0
CONT-QUI.OFT-1,1377,1,1293.0
CONT-QUI.TRA-2,1414,1,1173.0
CONT-QUI.CPL-2,29,1,-1172.0
CONT-QUI.CG-4,12,1,-33.0
CONT-QUI.CPL-2,38,1,9.0
CONT-QUI.NEUR-3,287,1,-1007.0
CONT-QUI.TRA-2,38,1,-1376.0
CONT-HOS.UCIA-4,1406,1,1383.0
HGY-URG.CAJA-0,1135,1,817.0
CONT-HOS.UCIP-1,4,1,2.0
CONT-NEONATOS-1,4,1,4.0
CONT-QUI.CPL-4,1424,1,1263.0
CONT-QUI.TRA-1,1302,1,1245.0
CONT-QUI.CG-4,1195,1,1183.0
CONT-QUI.URO-2,1371,1,12.0
CONT-QUI.OFT-1,1281,1,-96.0
CONT-QUI.CPL-2,1275,1,1237.0
CONT-QUI.CG-2,1382,1,1229.0
CONT-CCEE.GINE-4,1437,1,1426.0
CONT-CCEE.CG-1,9,1,
CONT-HOS.NEF-1,23,1,-1411.0
CONT-QUI.TRA-1,141,1,-1161.0
CONT-QUI.CV-3,1405,1,1227.0
CONT-QUI.ORL-4,137,1,-1181.0
CONT-QUI.CPL-4,202,1,-1222.0
CONT-QUI.ORL-4,59,1,-78.0
CONT-QUI.CPL-2,203,1,-1072.0
CONT-QUI.NEUR-3,38,1,-249.0
CONT-QUI.OFT-1,413,1,-868.0
CONT-QUI.URO-2,120,1,-1251.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
CONT-QUI.CPL-2,269,1,66.0
CONT-QUI.ORL-1,1307,1,126.0
HGY-QUI.CP.CAJA-0,1238,1,976.0
CONT-QUI.CG-4,86,1,-1109.0
CONT-HOS.UCIA-1,66,1,
EQP-CCEE.GIN.002-5,1432,1,1431.0
EQP-CCEE.GIN.006-4,1432,1,
EQP-CCEE.GIN.003-2,1,1,-1426.0
EQP-CCEE.GIN.003-1,1,1,0.0
EQP-CCEE.GIN.002-5,1,1,-1431.0
EQP-CCEE.GIN.002-4,1433,1,1432.0
CONT-HDINA-1,0,1,0.0
HUBU-HOS.NEO.BLEFARM-0,1,1,
CONT-QUI.OFT-1,1304,1,891.0
CONT-QUI.CG-2,208,1,-1174.0
CONT-QUI.GINE-4,980,1,
CONT-QUI.GINE-1,1406,1,1405.0
